algo_a,algo_b,entrance_a,seed,winner,a_moves,b_moves,a_waits,b_waits,a_items_collected,b_items_collected,a_efficiency,b_efficiency,move_margin,a_items_left,a_items_right,b_items_left,b_items_right,a_distribution,b_distribution,a_cross_cluster_trips,b_cross_cluster_trips,a_t_corridor_visits,a_b_corridor_visits,b_t_corridor_visits,b_b_corridor_visits,a_bottleneck_visits,b_bottleneck_visits,a_detour_ratio,b_detour_ratio,a_aisle_A1,a_aisle_A2,a_aisle_A4,a_aisle_A5,b_aisle_A1,b_aisle_A2,b_aisle_A4,b_aisle_A5,a_blocks_caused,b_blocks_caused,a_blocked_at_bottleneck,b_blocked_at_bottleneck,a_trap_attempts,a_trap_successes,b_trap_attempts,b_trap_successes,a_total_search_calls,a_total_nodes_expanded,a_avg_nodes_per_call,a_max_frontier,a_search_time_us,a_avg_time_per_call_us,b_total_search_calls,b_total_nodes_expanded,b_avg_nodes_per_call,b_max_frontier,b_search_time_us,b_avg_time_per_call_us,a_avg_nodes_per_move,b_avg_nodes_per_move,game_time_us,total_turns,game_id,trial
DFS,BFS,Top,91,Timeout,200,200,0,0,4,5,0.06,0.06,0,8,4,4,8,moderate,moderate,0,0,1,0,98,2,0,0,1.22,1.0,0,0,1,99,0,0,1,0,0,0,0,0,102,100,200,0,3712,59733,16.09,8,64583.1,17.4,3138,72241,23.02,6,76980.8,24.53,166.7,195.9,191029.8,200,49,9
DFS,BFS,Top,92,Timeout,200,200,0,0,4,4,0.06,0.06,0,8,4,4,8,moderate,moderate,0,0,1,0,98,2,0,0,1.22,1.0,0,0,1,99,0,0,1,0,0,0,0,0,102,100,200,0,3612,58324,16.15,8,61182.4,16.94,3530,78777,22.32,6,89817.1,25.44,157.8,213.5,201705.2,200,50,10
DFS,BFS,Bottom,93,Timeout,200,200,0,0,6,2,0.06,0.06,0,6,6,6,6,balanced,balanced,0,0,0,1,100,0,0,0,1.22,1.0,0,0,1,99,0,0,1,0,0,0,0,0,102,100,200,0,2818,44181,15.68,8,44236.3,15.7,4314,98123,22.75,6,95994.3,22.25,122.9,261.9,184926.5,200,51,1
DFS,BFS,Bottom,94,Timeout,200,200,0,0,8,3,0.06,0.06,0,4,8,8,4,moderate,moderate,0,0,0,1,100,0,0,0,1.22,1.0,0,0,1,99,0,0,1,0,0,0,0,0,102,100,200,0,2030,32592,16.06,8,35356.7,17.42,3922,81035,20.66,6,93332.6,23.8,94.5,212.5,163713.9,200,52,2
DFS,BFS,Bottom,95,Timeout,200,200,0,0,4,4,0.06,0.06,0,8,4,4,8,moderate,moderate,0,0,0,1,100,0,0,0,1.22,1.0,0,0,1,99,0,0,1,0,0,0,0,0,102,100,200,0,3612,58323,16.15,8,68316.8,18.91,3530,78779,22.32,6,91239.3,25.85,157.8,213.5,197705.7,200,53,3
DFS,BFS,Bottom,96,B,10,9,0,1,7,12,1.2,1.3333,1,5,7,7,5,moderate,moderate,0,1,0,1,4,0,0,1,1.162,1.0,0,0,1,4,1,2,1,1,1,0,0,0,7,1,9,1,143,2442,17.08,7,2386.7,16.69,151,3221,21.33,6,3044.5,20.16,131.2,179.3,6874.6,9,54,4
DFS,BFS,Bottom,97,B,10,9,0,1,5,12,1.2,1.3333,1,7,5,5,7,moderate,moderate,0,1,0,1,4,0,0,1,1.162,1.0,0,0,1,4,1,2,1,1,1,0,0,0,7,1,9,1,175,3183,18.19,7,3163.4,18.08,179,4138,23.12,6,4244.4,23.71,166.6,224.7,9177.0,9,55,5
DFS,BFS,Bottom,98,Timeout,200,200,0,0,6,3,0.06,0.06,0,6,6,6,6,balanced,balanced,0,0,0,1,100,0,0,0,1.22,1.0,0,0,1,99,0,0,1,0,0,0,0,0,102,100,200,0,2820,45831,16.25,8,45347.5,16.08,3922,83175,21.21,6,90584.7,23.1,127.1,221.8,176565.8,200,56,6
DFS,BFS,Bottom,99,B,10,9,0,1,6,12,1.2,1.3333,1,6,6,6,6,balanced,balanced,0,1,0,1,4,0,0,1,1.162,1.0,0,0,1,4,1,2,1,1,1,0,0,0,7,1,9,1,158,2781,17.6,7,2788.6,17.65,167,3792,22.71,6,3833.1,22.95,147.4,206.8,8281.2,9,57,7
DFS,BFS,Bottom,100,B,10,9,0,1,6,12,1.2,1.3333,1,6,6,6,6,balanced,balanced,0,1,0,1,4,0,0,1,1.162,1.0,0,0,1,4,1,2,1,1,1,0,0,0,7,1,9,1,164,2928,17.85,7,2846.3,17.36,151,3061,20.27,6,2924.7,19.37,154.4,175.2,7317.9,9,58,8
DFS,BFS,Bottom,101,Timeout,200,200,0,0,5,4,0.06,0.06,0,7,5,5,7,moderate,moderate,0,0,0,1,100,0,0,0,1.22,1.0,0,0,1,99,0,0,1,0,0,0,0,0,102,100,200,0,3217,52902,16.44,8,59883.7,18.61,3530,73503,20.82,6,71881.8,20.36,144.5,197.6,173770.2,200,59,9
